"Product code","Description","Included","Subscribed"
"aha_annual_survey_3years","AHA Annual Survey (3 Years)","No","No"
"aha_annual_survey_hist","AHA Annual Survey History (30+ years)","No","No"
"aha_annual_survey_recent","AHA Annual Survey (Recent 15+ years)","No","No"
"aha_common","AHA Common data","No","No"
"aha_hcris_3years","Financial Database (3 Years)","No","No"
"aha_hcris_recent","Financial Database (Recent 10+ years)","No","No"
"aha_it_survey_3years","AHA IT Survey (3 Years)","No","No"
"aha_it_survey_recent","AHA IT Survey (Recent 10+ years)","No","No"
"aha_sample","AHA Sample","Yes","Yes"
"audit_acct_os","Audit Analytics - Accounting and Oversight","No","Yes"
"audit_audit_comp","Audit Analytics - Audit and Compliance","No","Yes"
"audit_common","Audit Analytics - Common Tables","No","Yes"
"audit_corp_legal","Audit Analytics - Corporate and Legal","No","Yes"
"audit_europe","Audit Analytics -- Europe","No","No"
"audit_oia","Audit Analytics - Other Independent Audits","No","No"
"audit_sedar","Audit Analytics -- Canada (SEDAR)","No","No"
"auditsmp_all","Audit Analytics Trial","Yes","Yes"
"bank_all","WRDS Bank Regulatory Database","Yes","Yes"
"bank_premium","WRDS Bank Regulatory Premium","No","No"
"bank_premium_samp","WRDS Bank Research Suite Sample","Yes","Yes"
"block_all","Blockholders Database","Yes","Yes"
"boardex_eur","BoardEx - Europe","No","No"
"boardex_na","BoardEx - North America","No","Yes"
"boardex_row","BoardEx - Rest of World","No","No"
"boardex_trial","BoardEx Trial / Sample","Yes","Yes"
"boardex_uk","BoardEx - UK","No","No"
"bvd_ama_large","BvD Amadeus Large Companies","No","No"
"bvd_ama_medium","BvD Amadeus Medium Companies","No","No"
"bvd_ama_small","BvD Amadeus Small Companies","No","No"
"bvd_ama_verylarge","BvD Amadeus Very Large Companies","No","No"
"bvd_amadeus_trial","BvD Amadeus Trial","Yes","Yes"
"bvd_bvdbankf","BvD Orbis Bank Focus","No","No"
"bvd_bvdbankf_trial","BvD Bank Focus Trial","Yes","Yes"
"bvd_orbis_large","BvD Orbis Very Large and Large Companies","No","No"
"bvd_orbis_medium","BvD Orbis Medium Companies","No","No"
"bvd_orbis_small","BvD Orbis Small Companies","No","No"
"bvd_orbis_trial","BvD Orbis Sample","Yes","Yes"
"bvd_osiris","BvD Osiris","No","No"
"calcbench_ap_ar","Calcbench - Accounts Payable and Receivable including Unbilled Revenue","No","No"
"calcbench_business_combinations","Calcbench - Business Combinations","No","No"
"calcbench_business_segments","Calcbench - Business Segments","No","No"
"calcbench_commitment_contingency","Calcbench - Commitment and Contingency","No","No"
"calcbench_common","Calcbench - Common","No","No"
"calcbench_concentration_risk","Calcbench - Concentration Risk","No","No"
"calcbench_derivatives_hedging","Calcbench - Derivatives and Hedging","No","No"
"calcbench_discontinued_ops","Calcbench - Discontinued Operations and Retructuring","No","No"
"calcbench_equity_compensation","Calcbench - Equity Based Compensation","No","No"
"calcbench_equity_investments","Calcbench - Equity and Cost Method Investments","No","No"
"calcbench_equity_repurchases","Calcbench - Equity/Share Repurchases","No","No"
"calcbench_fair_value","Calcbench - Fair Value of Financial Instruments","No","No"
"calcbench_goodwill","Calcbench - Goodwill and Intangible Assets","No","No"
"calcbench_income_tax","Calcbench - Income Tax","No","No"
"calcbench_inventory","Calcbench - Inventory Including Reserves and Write-downs","No","No"
"calcbench_leases","Calcbench - Leases - Capital and Operating","No","No"
"calcbench_trial","Calcbench Trial / Sample","Yes","Yes"
"candid_3yr","Candid nonprofits 3-year data","No","No"
"candid_6yr","Candid nonprofits 6-year data","No","No"
"candid_9yr","Candid nonprofits 9-year data","No","No"
"candid_samp","Sample/Trial version of Candid","Yes","Yes"
"cboe_all","Daily pricing of the VIX (Volatility Index) from Cboe","Yes","Yes"
"cboe_eod","CBOE Options End of Day","No","No"
"cboe_sample","CBOE Options End of Day Sample","Yes","Yes"
"ciq_capstrct","Capital IQ Capital Structure","No","No"
"ciq_common","Capital IQ Helper","No","Yes"
"ciq_keydev","Capital IQ Key Developments","No","No"
"ciq_pplintel","Capital IQ People Intelligence","No","Yes"
"ciq_ratings","Capital IQ Ratings","No","Yes"
"ciq_transactions","Capital IQ Transactions","No","No"
"ciq_transcripts","Capital IQ Transcripts","No","No"
"ciqsamp_capstrct","Capital IQ Sample Capital Structure","Yes","Yes"
"ciqsamp_common","Capital IQ Sample Helper","Yes","Yes"
"ciqsamp_keydev","Capital IQ Sample Key Developments","Yes","Yes"
"ciqsamp_pplintel","Capital IQ Sample People Intelligence","Yes","Yes"
"ciqsamp_ratings","Capital IQ Sample Ratings","Yes","Yes"
"ciqsamp_transactions","CIQ Transactions Sample","Yes","Yes"
"ciqsamp_transcripts","Capital IQ Sample Transcripts","Yes","Yes"
"comp_bank_daily","Compustat Bank - daily updates","No","Yes"
"comp_execucomp","S&P Compustat Executive Compensation","No","Yes"
"comp_filings","S&P Filing Dates","No","No"
"comp_global_daily","Compustat Global - daily updates","No","Yes"
"comp_na_daily_all","Compustat North America - daily updates (current + historical data)","No","Yes"
