table_name,estimated_rows,total_table_bytes,table_comment
borrate1996,2036399,232873984,Borrow Rate File 1996 (Updated 2025-11-13)
borrate1997,2458769,281165824,Borrow Rate File 1997 (Updated 2025-11-13)
borrate1998,2807837,321060864,Borrow Rate File 1998 (Updated 2025-11-13)
borrate1999,2859108,326926336,Borrow Rate File 1999 (Updated 2025-11-13)
borrate2000,2586620,295780352,Borrow Rate File 2000 (Updated 2025-11-13)
borrate2001,2448067,279937024,Borrow Rate File 2001 (Updated 2025-11-13)
borrate2002,2542341,290717696,Borrow Rate File 2002 (Updated 2025-11-13)
borrate2003,2474106,282910720,Borrow Rate File 2003 (Updated 2025-11-13)
borrate2004,2773211,317120512,Borrow Rate File 2004 (Updated 2025-11-13)
borrate2005,3089317,353247232,Borrow Rate File 2005 (Updated 2025-11-13)
borrate2006,3433441,392585216,Borrow Rate File 2006 (Updated 2025-11-13)
borrate2007,3839136,438960128,Borrow Rate File 2007 (Updated 2025-11-13)
borrate2008,3803322,434872320,Borrow Rate File 2008 (Updated 2025-11-13)
borrate2009,3615954,413450240,Borrow Rate File 2009 (Updated 2025-11-13)
borrate2010,3768770,430915584,Borrow Rate File 2010 (Updated 2025-11-13)
borrate2011,4070068,465362944,Borrow Rate File 2011 (Updated 2025-11-13)
borrate2012,4158831,475504640,Borrow Rate File 2012 (Updated 2025-11-13)
borrate2013,4558405,521207808,Borrow Rate File 2013 (Updated 2025-11-13)
borrate2014,5182551,592543744,Borrow Rate File 2014 (Updated 2025-11-13)
borrate2015,5405654,618061824,Borrow Rate File 2015 (Updated 2025-11-13)
borrate2016,5551616,634748928,Borrow Rate File 2016 (Updated 2025-11-13)
borrate2017,5527540,631996416,Borrow Rate File 2017 (Updated 2025-11-13)
borrate2018,5671546,648470528,Borrow Rate File 2018 (Updated 2025-11-13)
borrate2019,5776842,660496384,Borrow Rate File 2019 (Updated 2025-11-13)
borrate2020,6020786,688390144,Borrow Rate File 2020 (Updated 2025-11-13)
borrate2021,7159894,818626560,Borrow Rate File 2021 (Updated 2025-11-13)
borrate2022,8051629,920576000,Borrow Rate File 2022 (Updated 2025-11-13)
borrate2023,8093936,925409280,
borrate2024,8167084,933773312,Borrow Rate File 2024 (Updated 2025-11-13)
borrate2025,5406937,618209280,Borrow Rate File 2025 (Updated 2025-11-13)
distrd,741982,120389632,Distribution File (Updated 2025-11-13)
distrprojd1996,4143075,440352768,Distribution_Projection 1996 (Updated 2025-11-13)
distrprojd1997,4662843,495591424,Distribution_Projection 1997 (Updated 2025-11-13)
distrprojd1998,5123560,544546816,Distribution_Projection 1998 (Updated 2025-11-13)
distrprojd1999,5234165,556310528,Distribution_Projection 1999 (Updated 2025-11-13)
distrprojd2000,4119284,437821440,Distribution_Projection 2000 (Updated 2025-11-13)
distrprojd2001,3542986,376578048,Distribution_Projection 2001 (Updated 2025-11-13)
distrprojd2002,3817549,405757952,Distribution_Projection 2002 (Updated 2025-11-13)
distrprojd2003,4130654,439025664,Distribution_Projection 2003 (Updated 2025-11-13)
distrprojd2004,4592880,488153088,Distribution_Projection 2004 (Updated 2025-11-13)
distrprojd2005,5216299,554409984,Distribution_Projection 2005 (Updated 2025-11-13)
distrprojd2006,5839806,620666880,Distribution_Projection 2006 (Updated 2025-11-13)
distrprojd2007,6810808,723869696,Distribution_Projection 2007 (Updated 2025-11-13)
distrprojd2008,7242549,769753088,Distribution_Projection 2008 (Updated 2025-11-13)
distrprojd2009,6918787,735338496,Distribution_Projection 2009 (Updated 2025-11-13)
distrprojd2010,7081560,752648192,Distribution_Projection 2010 (Updated 2025-11-13)
