family,table_count,first_table,last_table,rows,bytes,GiB
borrateYYYY,30,borrate1996,borrate2025,133339717,15245901824,14.1988525390625
distrd,1,distrd,distrd,741982,120389632,0.11212158203125
distrprojdYYYY,28,distrprojd1996,distrprojd2023,214846126,22833864704,21.26569366455078
exchgd,1,exchgd,exchgd,209473,24608768,0.022918701171875
fwdprdYYYY,30,fwdprd1996,fwdprd2025,133463527,15260033024,14.212013244628906
hvoldYYYY,30,hvold1996,hvold2025,350050394,40022974464,37.27429962158203
idxdvd,1,idxdvd,idxdvd,2709307,221806592,0.206573486328125
indexd,1,indexd,indexd,80311,11313152,0.01053619384765625
opinfd,1,opinfd,opinfd,13569,966656,0.0009002685546875
opprcdYYYY,30,opprcd1996,opprcd2025,4311580085,1207639064576,1124.7015228271484
optionmnames,1,optionmnames,optionmnames,69513312,10188431360,9.488716125488281
opvold,1,opvold,opvold,81080688,7274201088,6.774627685546875
secnmd,1,secnmd,secnmd,271874,44400640,0.041351318359375
secprd,1,secprd,secprd,65838324,10243465216,9.539970397949219
secprdYYYY,30,secprd1996,secprd2025,65838324,11727192064,10.921798706054688
securd,1,securd,securd,115380,19169280,0.017852783203125
securd1,1,securd1,securd1,116223,12935168,0.01204681396484375
stdbrteYYYY,30,stdbrte1996,stdbrte2025,297361108,33999060992,31.664093017578125
stdopdYYYY,30,stdopd1996,stdopd2025,586934190,107790090240,100.38734436035156
vsurfdYYYY,30,vsurfd1996,vsurfd2025,10069562928,1624519237632,1512.9514389038086
zerocd,1,zerocd,zerocd,304301,25018368,0.0233001708984375
