library,table_name,estimated_rows,total_table_bytes,column_count,primary_key_columns,table_comment,size_pretty
aha_sample,annual_survey,873,5390336,1105,,,5.14 MiB
aha_sample,hcris,100,245760,206,,Sample of HCRIS (Updated 2025-09-04),240.00 KiB
aha_sample,it_survey,100,245760,1126,,Sample of IT Survey (Updated 2025-09-04),240.00 KiB
aha_sample,summary_of_changes,10,49152,18,,"Sample of Additions, Removals, and Mergers of Hospitals by Year (Updated 2025-08-29)",48.00 KiB
audit_acct_os,f56_acc_est_cha_fil,23686,4349952,6,,supporting feed of feed 56 : accounting_estimates_change_filings (Updated 2026-02-07),4.15 MiB
audit_acct_os,f56_acc_est_tax,40,40960,4,,supporting feed of feed 56 : accounting_estimates_taxonomy (Updated 2026-02-07),40.00 KiB
audit_acct_os,f56_acc_est_to_tax,18935,1024000,3,,supporting feed of feed 56 : accounting_estimates_to_taxonomy (Updated 2026-02-07),1000.00 KiB
audit_acct_os,f74_aqrm_company_flags,296064,27058176,4,,supporting feed of feed 74 : aqrm_company_flags (Updated 2026-02-07),25.80 MiB
audit_acct_os,f74_fee_sup_acc_est_cha,14998,1056768,4,,supporting feed of feed 74 : feed_support74_accounting_estimate_change (Updated 2026-02-07),1.01 MiB
audit_acct_os,f74_fee_sup_aud_cha,36478,2523136,4,,supporting feed of feed 74 : feed_support74_auditor_change (Updated 2026-02-07),2.41 MiB
audit_acct_os,f74_fee_sup_aud_fee_out,54070,3768320,5,,supporting feed of feed 74 : feed_support74_audit_fee_outlier (Updated 2026-02-07),3.59 MiB
audit_acct_os,f74_fee_sup_aud_rat,66100,4546560,4,,supporting feed of feed 74 : feed_support74_auditor_ratification (Updated 2026-02-07),4.34 MiB
audit_acct_os,f74_fee_sup_civ_rig_lit,1979,172032,4,,supporting feed of feed 74 : feed_support74_civil_rights_litigation (Updated 2026-02-07),168.00 KiB
audit_acct_os,f74_fee_sup_dis_com,97829,19333120,14,,supporting feed of feed 74 : feed_support74_disclosure_complexity (Updated 2026-02-07),18.44 MiB
audit_acct_os,f74_fee_sup_dis_con,761418,52027392,4,,supporting feed of feed 74 : feed_support74_disclosure_controls (Updated 2026-02-07),49.62 MiB
audit_acct_os,f74_fee_sup_emp_lab_lit,12121,868352,4,,supporting feed of feed 74 : feed_support74_employment_labor_litigation (Updated 2026-02-07),848.00 KiB
audit_acct_os,f74_fee_sup_eng_par_cha,10291,737280,4,,supporting feed of feed 74 : feed_support74_engagement_partner_change (Updated 2026-02-07),720.00 KiB
audit_acct_os,f74_fee_sup_env_lit,9264,671744,4,,supporting feed of feed 74 : feed_support74_environmental_litigation (Updated 2026-02-07),656.00 KiB
audit_acct_os,f74_fee_sup_fin_res,25008,1744896,4,,supporting feed of feed 74 : feed_support74_financial_restatement (Updated 2026-02-07),1.66 MiB
audit_acct_os,f74_fee_sup_ill_act_lit,18184,1277952,4,,supporting feed of feed 74 : feed_support74_illegal_activities_litigation (Updated 2026-02-07),1.22 MiB
audit_acct_os,f74_fee_sup_int_con,235925,16146432,4,,supporting feed of feed 74 : feed_support74_internal_controls (Updated 2026-02-07),15.40 MiB
audit_acct_os,f74_fee_sup_int_pro_lit,44971,3104768,4,,supporting feed of feed 74 : feed_support74_intellectual_property_litigation (Updated 2026-02-07),2.96 MiB
audit_acct_os,f74_fee_sup_mat_imp,48362,3342336,4,,supporting feed of feed 74 : feed_support74_material_impairment (Updated 2026-02-07),3.19 MiB
audit_acct_os,f74_fee_sup_non_aud_fee,28925,2031616,5,,supporting feed of feed 74 : feed_support74_non_audit_fees (Updated 2026-02-07),1.94 MiB
audit_acct_os,f74_fee_sup_per_adj,3887,303104,4,,supporting feed of feed 74 : feed_support74_period_adjustments (Updated 2026-02-07),296.00 KiB
audit_acct_os,f74_fee_sup_ple_sec,22218,1196032,4,,supporting feed of feed 74 : feed_support74_pledged_securities (Updated 2026-02-07),1.14 MiB
audit_acct_os,f74_fee_sup_reg_lit,5338,401408,4,,supporting feed of feed 74 : feed_support74_regulatory_litigation (Updated 2026-02-07),392.00 KiB
audit_acct_os,f74_fee_sup_sha_act,161184,11042816,4,,supporting feed of feed 74 : feed_support74_shareholder_activism (Updated 2026-02-07),10.53 MiB
audit_acct_os,f74_fee_sup_sha_act_lit,81812,5619712,4,,supporting feed of feed 74 : feed_support74_shareholder_action_litigation (Updated 2026-02-07),5.36 MiB
audit_acct_os,f74_feed_support74_altman_score,78706,5111808,4,,supporting feed of feed 74 : feed_support74_altman_score (Updated 2026-02-07),4.88 MiB
audit_acct_os,f74_feed_support74_audit_fees,188126,31637504,15,,supporting feed of feed 74 : feed_support74_audit_fees (Updated 2026-02-07),30.17 MiB
audit_acct_os,f74_feed_support74_beneish_score,39255,8404992,9,,supporting feed of feed 74 : feed_support74_beneish_score (Updated 2026-02-07),8.02 MiB
audit_acct_os,f74_feed_support74_benfords_law,101267,34791424,32,,supporting feed of feed 74 : feed_support74_benfords_law (Updated 2026-02-07),33.18 MiB
audit_acct_os,f74_feed_support74_ceo_change,51905,3579904,4,,supporting feed of feed 74 : feed_support74_ceo_change (Updated 2026-02-07),3.41 MiB
audit_acct_os,f74_feed_support74_cfo_change,59099,4071424,4,,supporting feed of feed 74 : feed_support74_cfo_change (Updated 2026-02-07),3.88 MiB
audit_acct_os,f74_feed_support74_cybersecurity,1469,114688,4,,supporting feed of feed 74 : feed_support74_cybersecurity (Updated 2026-02-07),112.00 KiB
audit_acct_os,f74_feed_support74_going_concern,532217,36380672,4,,supporting feed of feed 74 : feed_support74_going_concern (Updated 2026-02-07),34.70 MiB
audit_acct_os,f74_feed_support74_late_filings,116455,7987200,4,,supporting feed of feed 74 : feed_support74_late_filings (Updated 2026-02-07),7.62 MiB
audit_acct_os,f78_feed_support78_cam_topic,61,40960,2,,supporting feed of feed 78 : feed_support78_cam_topic (Updated 2026-02-07),40.00 KiB
audit_acct_os,f85_cyb_bre_to_inf,3837,237568,3,,supporting feed of feed 85 : cybersec_breach_to_information (Updated 2026-02-07),232.00 KiB
audit_acct_os,f85_cybersec_breach_attack,7,40960,2,,supporting feed of feed 85 : cybersec_breach_attack (Updated 2026-02-07),40.00 KiB
audit_acct_os,f85_cybersec_breach_information,13,40960,2,,supporting feed of feed 85 : cybersec_breach_information (Updated 2026-02-07),40.00 KiB
audit_acct_os,f85_cybersec_breach_to_attack,1483,114688,3,,supporting feed of feed 85 : cybersec_breach_to_attack (Updated 2026-02-07),112.00 KiB
audit_acct_os,f85_cybersec_filing,4218,7626752,7,,supporting feed of feed 85 : cybersec_filing (Updated 2026-02-07),7.27 MiB
